"","Emoji","unified","Occurrences","Position","Negative","Neutral","Positive","name","Unicode.block","top_rank","next_top"
"151","🌞","1f31e",162,0.709366196,3,64,95,"SUN WITH FACE","Miscellaneous Symbols and Pictographs","happy","neutral"
"152","🍁","1f341",161,0.62398169,5,72,84,"MAPLE LEAF","Miscellaneous Symbols and Pictographs","neutral","happy"
"153","⭐","2b50",159,0.600764348,5,55,99,"WHITE MEDIUM STAR","Miscellaneous Symbols and Arrows","neutral","happy"
"154","▪","25aa",159,0.145166872,15,97,47,"BLACK SMALL SQUARE","Geometric Shapes","neutral","na"
"155","🎀","1f380",156,0.651799025,6,44,106,"RIBBON","Miscellaneous Symbols and Pictographs","neutral","happy"
"156","━","2501",156,0.540249825,14,100,42,"BOX DRAWINGS HEAVY HORIZONTAL","Box Drawing","neutral","na"
"157","☷","2637",154,0.012407833,2,140,12,"TRIGRAM FOR EARTH","Miscellaneous Symbols","neutral","na"
"158","🐷","1f437",152,0.6026825,11,73,68,"PIG FACE","Miscellaneous Symbols and Pictographs","neutral","happy"
"159","🙉","1f649",150,0.757694988,26,47,77,"HEAR-NO-EVIL MONKEY","Emoticons","happy","neutral"
"160","🌺","1f33a",150,0.629472896,2,62,86,"HIBISCUS","Miscellaneous Symbols and Pictographs","neutral","happy"
"161","💅","1f485",149,0.755747604,27,36,86,"NAIL POLISH","Miscellaneous Symbols and Pictographs","neutral","happy"
"162","🐶","1f436",148,0.654155755,12,37,99,"DOG FACE","Miscellaneous Symbols and Pictographs","happy","neutral"
"163","🌚","1f31a",148,0.759894657,23,32,93,"NEW MOON WITH FACE","Miscellaneous Symbols and Pictographs","happy","neutral"
"164","👽","1f47d",146,0.612456875,13,73,60,"EXTRATERRESTRIAL ALIEN","Miscellaneous Symbols and Pictographs","neutral","happy"
"165","🎤","1f3a4",144,0.67089174,17,40,87,"MICROPHONE","Miscellaneous Symbols and Pictographs","neutral","happy"
"166","👭","1f46d",144,0.667223526,20,36,88,"TWO WOMEN HOLDING HANDS","Miscellaneous Symbols and Pictographs","happy","neutral"
"167","🎧","1f3a7",142,0.842970526,18,46,78,"HEADPHONE","Miscellaneous Symbols and Pictographs","neutral","happy"
"168","👆","1f446",138,0.78746414,16,60,62,"WHITE UP POINTING BACKHAND INDEX","Miscellaneous Symbols and Pictographs","neutral","happy"
"169","🍸","1f378",138,0.662604118,12,38,88,"COCKTAIL GLASS","Miscellaneous Symbols and Pictographs","neutral","happy"
"170","🍷","1f377",137,0.603671624,7,68,62,"WINE GLASS","Miscellaneous Symbols and Pictographs","neutral","happy"
"171","®","ae",137,0.353084876,9,80,48,"REGISTERED SIGN","Latin-1 Supplement","neutral","na"
"172","🍉","1f349",136,0.647778999,10,33,93,"WATERMELON","Miscellaneous Symbols and Pictographs","neutral","happy"
"173","😇","1f607",135,0.781831331,9,36,90,"SMILING FACE WITH HALO","Emoticons","happy","neutral"
"174","☑","2611",135,0.690061863,2,117,16,"BALLOT BOX WITH CHECK","Miscellaneous Symbols","neutral","happy"
"175","🏃","1f3c3",135,0.735256148,12,55,68,"RUNNER","Miscellaneous Symbols and Pictographs","neutral","afraid"
"176","😿","1f63f",134,0.811560707,78,29,27,"CRYING CAT FACE","Emoticons","sad","neutral"
"177","│","2502",134,0.483180302,0,87,47,"BOX DRAWINGS LIGHT VERTICAL","Box Drawing","neutral","na"
"178","💣","1f4a3",131,0.846726927,40,50,41,"BOMB","Miscellaneous Symbols and Pictographs","neutral","angry"
"179","🍺","1f37a",131,0.68156608,8,49,74,"BEER MUG","Miscellaneous Symbols and Pictographs","happy","neutral"
"180","▶","25b6",131,0.498359177,7,89,35,"BLACK RIGHT-POINTING TRIANGLE","Geometric Shapes","neutral","na"
"181","😲","1f632",129,0.853619885,50,38,41,"ASTONISHED FACE","Emoticons","surprised","afraid"
"182","🎸","1f3b8",125,0.605443071,1,57,67,"GUITAR","Miscellaneous Symbols and Pictographs","neutral","happy"
"183","🍹","1f379",123,0.764164553,5,30,88,"TROPICAL DRINK","Miscellaneous Symbols and Pictographs","happy","neutral"
"184","💫","1f4ab",121,0.614437663,4,51,66,"DIZZY SYMBOL","Miscellaneous Symbols and Pictographs","neutral","happy"
"185","📚","1f4da",119,0.69163189,22,34,63,"BOOKS","Miscellaneous Symbols and Pictographs","neutral","na"
"186","😶","1f636",117,0.868667638,50,34,33,"FACE WITHOUT MOUTH","Emoticons","neutral","surprised"
"187","🌷","1f337",116,0.623397976,0,52,64,"TULIP","Miscellaneous Symbols and Pictographs","neutral","happy"
"188","💝","1f49d",115,0.774410045,8,23,84,"HEART WITH RIBBON","Miscellaneous Symbols and Pictographs","happy","neutral"
"189","💨","1f4a8",115,0.711396809,12,46,57,"DASH SYMBOL","Miscellaneous Symbols and Pictographs","neutral","na"
"190","🏈","1f3c8",114,0.823010837,7,38,69,"AMERICAN FOOTBALL","Miscellaneous Symbols and Pictographs","neutral","happy"
"191","💍","1f48d",112,0.807520998,16,25,71,"RING","Miscellaneous Symbols and Pictographs","happy","neutral"
"192","☔","2614",111,0.687353164,21,36,54,"UMBRELLA WITH RAIN DROPS","Miscellaneous Symbols","neutral","sad"
"193","👸","1f478",111,0.654472403,6,30,75,"PRINCESS","Miscellaneous Symbols and Pictographs","neutral","happy"
"194","🇪","1f1ea",109,0.698877291,2,36,71,"REGIONAL INDICATOR SYMBOL LETTER E","Enclosed Alphanumeric Supplement","neutral","na"
"195","░","2591",108,0.439438477,25,63,20,"LIGHT SHADE","Block Elements","neutral","na"
"196","🍩","1f369",107,0.708816106,15,35,57,"DOUGHNUT","Miscellaneous Symbols and Pictographs","neutral","happy"
"197","👾","1f47e",105,0.55188131,1,64,40,"ALIEN MONSTER","Miscellaneous Symbols and Pictographs","neutral","angry"
"198","☁","2601",104,0.595923185,14,43,47,"CLOUD","Miscellaneous Symbols","neutral","sad"
"199","🌻","1f33b",104,0.607167343,1,41,62,"SUNFLOWER","Miscellaneous Symbols and Pictographs","neutral","happy"
"200","😵","1f635",103,0.808813841,33,28,42,"DIZZY FACE","Emoticons","surprised","neutral"
"201","📒","1f4d2",102,0.473944671,0,98,4,"LEDGER","Miscellaneous Symbols and Pictographs","neutral","na"
"202","↿","21bf",102,0.710504202,0,34,68,"UPWARDS HARPOON WITH BARB LEFTWARDS","Arrows","neutral","na"
